starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:39:46 2025	1752007186	0	535	535	535
Tue Jul 08 23:39:35 2025	1752007175	6	531	536	530
Tue Jul 08 23:39:35 2025	1752007175	0	537	537	443
Tue Jul 08 23:39:47 2025	1752007187	0	539	539	538
Tue Jul 08 23:39:37 2025	1752007177	0	539	539	498
Tue Jul 08 23:39:48 2025	1752007188	0	539	539	477
Tue Jul 08 23:39:46 2025	1752007186	0	539	539	483
Tue Jul 08 23:39:47 2025	1752007187	0	539	539	539
Tue Jul 08 23:39:48 2025	1752007188	0	540	540	487
Tue Jul 08 23:39:48 2025	1752007188	0	540	540	539
Tue Jul 08 23:39:42 2025	1752007182	0	540	540	515
Tue Jul 08 23:39:42 2025	1752007182	0	540	540	539
Tue Jul 08 23:39:36 2025	1752007176	0	542	542	539
Tue Jul 08 23:39:41 2025	1752007181	1	543	543	476
Tue Jul 08 23:39:47 2025	1752007187	0	544	544	539
Tue Jul 08 23:39:46 2025	1752007186	0	544	544	427
Tue Jul 08 23:39:45 2025	1752007185	0	545	545	505
Tue Jul 08 23:39:46 2025	1752007186	0	544	545	439
Tue Jul 08 23:39:45 2025	1752007185	0	545	545	537
Tue Jul 08 23:39:46 2025	1752007186	0	545	545	545
Tue Jul 08 23:39:44 2025	1752007184	0	546	546	544
Tue Jul 08 23:39:42 2025	1752007182	0	546	546	546
Tue Jul 08 23:39:47 2025	1752007187	0	547	547	297
Tue Jul 08 23:39:45 2025	1752007185	0	547	547	547
Tue Jul 08 23:39:46 2025	1752007186	0	547	547	467
Tue Jul 08 23:39:46 2025	1752007186	0	547	547	480
Tue Jul 08 23:39:42 2025	1752007182	0	548	548	546
Tue Jul 08 23:39:36 2025	1752007176	0	548	548	547
Tue Jul 08 23:39:40 2025	1752007180	0	548	549	454
Tue Jul 08 23:39:43 2025	1752007183	0	549	550	535
Tue Jul 08 23:39:47 2025	1752007187	0	550	550	549
Tue Jul 08 23:39:36 2025	1752007176	0	551	551	550
Tue Jul 08 23:39:45 2025	1752007185	0	554	554	505
Tue Jul 08 23:39:35 2025	1752007175	4	550	554	549
Tue Jul 08 23:39:45 2025	1752007185	1	553	554	377
Tue Jul 08 23:39:46 2025	1752007186	0	554	554	554
Tue Jul 08 23:39:36 2025	1752007176	0	554	554	552
Tue Jul 08 23:39:44 2025	1752007184	0	555	555	554
Tue Jul 08 23:39:47 2025	1752007187	0	555	555	552
Tue Jul 08 23:39:46 2025	1752007186	0	555	555	552
Tue Jul 08 23:39:42 2025	1752007182	0	556	556	438
Tue Jul 08 23:39:42 2025	1752007182	0	556	556	555
Tue Jul 08 23:39:41 2025	1752007181	0	556	556	555
Tue Jul 08 23:39:42 2025	1752007182	0	556	556	447
Tue Jul 08 23:39:47 2025	1752007187	0	556	556	556
Tue Jul 08 23:39:45 2025	1752007185	0	556	556	556
Tue Jul 08 23:39:43 2025	1752007183	0	556	556	556
Tue Jul 08 23:39:43 2025	1752007183	0	557	557	557
Tue Jul 08 23:39:46 2025	1752007186	0	558	558	558
Tue Jul 08 23:39:43 2025	1752007183	0	560	560	557
Tue Jul 08 23:39:46 2025	1752007186	0	560	560	515
Tue Jul 08 23:39:45 2025	1752007185	0	562	562	531
Tue Jul 08 23:39:45 2025	1752007185	0	562	562	528
Tue Jul 08 23:39:35 2025	1752007175	9	554	563	554
Tue Jul 08 23:39:45 2025	1752007185	1	564	564	555
Tue Jul 08 23:39:44 2025	1752007184	0	564	565	563
Tue Jul 08 23:39:45 2025	1752007185	0	565	565	564
Tue Jul 08 23:39:46 2025	1752007186	0	565	565	564
Tue Jul 08 23:39:41 2025	1752007181	0	565	565	430
Tue Jul 08 23:39:46 2025	1752007186	0	565	565	497
Tue Jul 08 23:39:46 2025	1752007186	0	566	566	564
Tue Jul 08 23:39:47 2025	1752007187	0	567	567	517
Tue Jul 08 23:39:48 2025	1752007188	0	567	568	563
Tue Jul 08 23:39:42 2025	1752007182	0	568	568	566
Tue Jul 08 23:39:47 2025	1752007187	0	568	568	567
Tue Jul 08 23:39:41 2025	1752007181	0	569	569	435
Tue Jul 08 23:39:44 2025	1752007184	0	570	570	568
Tue Jul 08 23:39:42 2025	1752007182	0	570	570	570
Tue Jul 08 23:39:44 2025	1752007184	0	571	571	571
Tue Jul 08 23:39:42 2025	1752007182	0	571	571	570
Tue Jul 08 23:39:43 2025	1752007183	0	572	572	523
Tue Jul 08 23:39:47 2025	1752007187	0	573	573	572
Tue Jul 08 23:39:46 2025	1752007186	0	573	573	573
Tue Jul 08 23:39:44 2025	1752007184	0	574	574	573
Tue Jul 08 23:39:45 2025	1752007185	0	574	574	462
Tue Jul 08 23:39:35 2025	1752007175	9	565	574	564
Tue Jul 08 23:39:44 2025	1752007184	0	574	575	574
Tue Jul 08 23:39:43 2025	1752007183	0	575	575	573
Tue Jul 08 23:39:45 2025	1752007185	0	575	575	575
Tue Jul 08 23:39:47 2025	1752007187	0	576	576	574
